request_id|subject|text|target_node|processed_by|routed_from|routed_to|input_tokens|output_tokens|cache_hit_tokens|cache_hit_ratio|inference_time_s|total_time_s|cache_utilization|error
24|professional_psychology|" access to psychometric information
D. acknowledging the limits of their data or conclusions
Answer:"|0|1|0|1|316|1|253|0.8006|0.0713|0.0726|0.893|
25|jurisprudence|"to law.
D. Because the principal focus of the American realist 'school' was legal education.
Answer:"|3|1|3|1|416|1|1|0.0024|1.7639|1.7652|0.76|
26|moral_disputes|"
C. immigration is harmful to low-income Americans.
D. egalitarianism is a Marxist doctrine.
Answer:"|2|2|||292|1|0|0.0|0.8818|0.8826|0.794|
27|elementary_mathematics|"olando’s cupboard are either tomato or chicken noodle?
A. 7-Mar
B. 5-Mar
C. 10-Jul
D. 10-Sep
Answer:"|0|2|0|2|221|1|3|0.0136|0.4973|0.4987|0.821|
28|high_school_world_history|"ight makes right
C. The end justifies the means
D. The government is best that governs least
Answer:"|1|1|||1268|1|0|0.0|16.205|16.2067|0.0|
29|philosophy|"_____.
A. too complicated
B. weak
C. strong
D. not based on a legitimate method of reasoning
Answer:"|0|0|||197|1|0|0.0|0.4078|0.4092|0.875|
30|elementary_mathematics|" = 112; $28
Answer: B

What is the value of y in the equation y/4 = 8?
A. 2
B. 4
C. 12
D. 32
Answer:"|3|2|3|2|201|1|180|0.8955|0.0245|0.0248|0.843|
31|international_law|"onal courts and tribunals
D. We look for general principles of law recognized by all nations
Answer:"|1|1|||416|1|0|0.0|1.7722|1.7735|0.417|
32|professional_psychology|"tinction procedure
D. inhibition of emotional response because of learned cognitive controls
Answer:"|0|0|||311|1|0|0.0|0.9983|0.9998|0.892|
33|logical_fallacies|" they have to be thankful for
D. using threats of harm instead of reasoning to get agreement
Answer:"|0|0|||406|1|0|0.0|1.689|1.6904|0.917|
34|high_school_european_history|"n to strive to achieve
C. that man is unworthy of admiration
D. that humans are God's equals
Answer:"|1|1|||1280|1|7|0.0055|16.3333|16.3352|0.0|
35|miscellaneous|"hat is the traditional 20th wedding anniversary gift?
A. paper
B. leather
C. china
D. silver
Answer:"|1|1|||185|1|0|0.0|0.3608|0.3611|0.186|
36|high_school_microeconomics|"changes in demand.
D. In the short run, supply is able to adjust fully to changes in demand.
Answer:"|2|2|||366|1|0|0.0|1.3762|1.3775|0.901|
37|professional_law|"ent.
D. Yes, because it serves a legitimate government interest in protecting public health.
Answer:"|2|2|||1085|1|0|0.0|11.8808|11.8821|0.0|
38|high_school_psychology|"ct.
B. self-serving bias.
C. an external locus of control.
D. unconditional positive regard.
Answer:"|0|0|||237|1|0|0.0|0.5854|0.5868|0.957|
39|high_school_geography|"t unify and strengthen a country?
A. Diffusion
B. Centrifugal
C. Centripetal
D. Ethnocentric
Answer:"|1|1|||199|1|0|0.0|0.4159|0.4172|0.386|
40|moral_scenarios|"'t get sick.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|2|3|2|3|448|1|404|0.9018|0.0642|0.0655|0.811|
41|high_school_world_history|"rnments promoting capitalist policies to reduce inequality between sectors of the population
Answer:"|0|1|0|1|1420|1|7|0.0049|20.1077|20.1092|0.0|
42|moral_scenarios|" answer key.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|1|3|1|3|455|1|404|0.8879|0.0715|0.0729|0.863|
43|us_foreign_policy|"nce
D. It indicated that the US would now view all local revolts through a geopolitical lens
Answer:"|2|2|||273|1|0|0.0|0.7726|0.7738|0.274|
44|high_school_us_history|"ratification of the Fourteenth Amendment (1868).
D. passage of the Civil Rights Act of 1875.
Answer:"|0|1|0|1|1323|1|7|0.0053|17.4509|17.4523|0.0|
45|professional_psychology|"not an unusually long time for therapy to continue without a significant change in symptoms.
Answer:"|3|0|3|0|348|1|253|0.727|0.1251|0.1266|0.741|
46|professional_psychology|" behavior cannot be tolerated.
D. the baseline levels of the behavior cannot be established.
Answer:"|1|0|1|0|299|1|253|0.8462|0.0511|0.0523|0.788|
47|college_physics|"s perpendicular to the surface.
C. B is tangential to the surface.
D. B is time independent.
Answer:"|0|0|||353|1|0|0.0|1.2814|1.2857|0.735|
48|international_law|"cials are acts jure imperii
D. An act is jure imperii when undertaken by a State corporation
Answer:"|3|0|3|0|395|1|1|0.0025|1.5919|1.5933|0.892|
49|astronomy|"into thermal energy
C. internal friction due to its high rotation rate
D. chemical processes
Answer:"|1|2|1|2|295|1|2|0.0068|0.888|0.8894|0.568|
50|global_facts|"centage of the global population over 15 years old was literate?
A. 81%
B. 86%
C. 91%
D. 96%
Answer:"|3|3|||175|1|0|0.0|0.3238|0.3251|0.812|
51|miscellaneous|"trademarked name for its super-large sodas?
A. Big Slurp
B. Big Gulp
C. Big Drink
D. Big Sip
Answer:"|1|1|||192|1|0|0.0|0.3878|0.3891|0.193|
52|moral_scenarios|"ning record.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|2|3|2|3|438|1|405|0.9247|0.0547|0.0559|0.846|
53|formal_logic|"in PL of the given premises?
~E ⊃ ~F
G ⊃ F
H ∨ ~E
H ⊃ I
~I
A. E ⊃ F
B. F ⊃ G
C. H ⊃ ~E
D. ~H
Answer:"|2|2|||515|1|0|0.0|2.7037|2.7052|0.81|
54|high_school_macroeconomics|"n excess reserves
C. 90 percent $450 in excess reserves
D. 10 percent $50 in excess reserves
Answer:"|3|3|||348|1|0|0.0|1.2458|1.2474|0.697|
55|logical_fallacies|"echnology?"")
A. Equivocation
B. Inconsistency
C. Appeal to Authority
D. Prejudicial Language
Answer:"|1|1|||435|1|0|0.0|1.9358|1.9371|0.629|
56|moral_scenarios|"h customers.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|0|3|0|3|445|1|405|0.9101|0.0605|0.0619|0.738|
57|high_school_psychology|"bly need improvement.
D. The results indicate that the test has low test-retest reliability.
Answer:"|0|0|||288|1|0|0.0|0.8582|0.8598|0.684|
58|elementary_mathematics|"12; $448
D. t over 4 = 112; $28
Answer: B

What is 7% equal to?
A. 0.007
B. 0.07
C. 0.7
D. 7
Answer:"|0|2|0|2|194|1|2|0.0103|0.388|0.3894|0.709|
59|human_sexuality|"ss American women
B. white American women
C. poor Puerto Rican women
D. Asian American women
Answer:"|1|0|1|0|275|1|1|0.0036|0.7783|0.7796|0.959|
60|miscellaneous|" 'probono'?
A. work overtime
B. work without pay
C. work as your own boss
D. not work at all
Answer:"|0|1|0|1|194|1|169|0.8711|0.0256|0.0269|0.655|
61|nutrition|"eine
C. Carboxylation of pyruvate to oxaloacetate
D. Synthesis of methylene tetrahydrofolate
Answer:"|3|0|3|0|238|1|1|0.0042|0.5855|0.5869|0.802|
62|philosophy|"ired for a complete life, the greatest is:
A. honor.
B. friendship.
C. luxury.
D. good food.
Answer:"|2|2|||192|1|0|0.0|0.3878|0.3891|0.902|
63|high_school_psychology|" other research methods do.
D. Experiments take place in more realistic, real-life settings.
Answer:"|0|0|||263|1|209|0.7947|0.0555|0.0567|0.857|
64|world_religions|"ystery cults
B. By military victories
C. Direct lineage of ancestors
D. Descends from heaven
Answer:"|0|2|0|2|147|1|1|0.0068|0.2279|0.2292|0.533|
65|miscellaneous|" like the software to meet
D. Deciding what type of user interface would be most appropriate
Answer:"|0|1|0|1|253|1|168|0.664|0.0976|0.0988|0.741|
66|virology|"China, the U.S. and Russia
C. Afghanistan, Iraq and Myanmar
D. Lithuania, Estonia and Latvia
Answer:"|0|0|||200|1|0|0.0|0.42|0.4213|0.769|
67|professional_law|"er's bad character for truthfulness.
D. proper, as relevant to the informer's possible bias.
Answer:"|1|1|||1134|1|0|0.0|12.973|12.9744|0.0|
68|high_school_chemistry|"llowing is expected to have two or more resonance structures?
A. CCl2F2
B. SO3
C. PF5
D. H2O
Answer:"|3|3|||221|1|199|0.9005|0.0269|0.0281|0.761|
69|moral_scenarios|"ss the road.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|1|3|1|3|444|1|405|0.9122|0.0596|0.0604|0.801|
70|professional_law|"y the UCC.
B. a unilateral contract.
C. a bilateral contract.
D. an unconscionable contract.
Answer:"|0|0|||1071|1|0|0.0|11.5775|11.579|0.0|
71|high_school_psychology|"onemes are not interchangeable with morphemes
D. cultures have developed different languages
Answer:"|1|0|1|0|250|1|0|0.0|0.65|0.6513|0.251|
72|high_school_geography|"rranean climate
B. Limited forest cover
C. Growth of manufacturing
D. Access to trade routes
Answer:"|1|1|||214|1|0|0.0|0.4794|0.4806|0.215|
73|world_religions|" to embrace Islam?
A. Guru Ram Das
B. Guru Tegh Bahadur
C. Guru Gobind Singh
D. Guru Har Rai
Answer:"|2|2|||142|1|115|0.8099|0.0215|0.0228|0.561|
74|miscellaneous|"se is not an ingredient in Yorkshire pudding?
A. eggs
B. milk
C. chocolate
D. meat drippings
Answer:"|2|2|||188|1|0|0.0|0.3722|0.3735|0.75|
75|prehistory|"e suicide of 60 members of the royal family.
D. An 8,000-member life-sized terra cotta army.
Answer:"|3|3|||267|1|0|0.0|0.7396|0.741|0.983|
76|us_foreign_policy|"eal effect
C. It encourages stability of the regime
D. It changes the nature of the investor
Answer:"|3|2|3|2|251|1|3|0.012|0.6401|0.6412|0.999|
77|world_religions|"aside as the ambrosial hours for the Sikhs?
A. 5–7 a.m.
B. 9–11 p.m.
C. 3–6 p.m.
D. 3–6 a.m.
Answer:"|0|2|0|2|140|1|115|0.8214|0.0203|0.0218|0.832|
78|high_school_psychology|"able ratio schedules of reinforcement are more resistant to extinction than fixed schedules.
Answer:"|1|0|1|0|274|1|209|0.7628|0.0697|0.0708|0.317|
79|high_school_macroeconomics|" currency will
A. appreciate.
B. depreciate.
C. remain unchanged.
D. change indeterminately.
Answer:"|2|3|2|3|321|1|290|0.9034|0.0417|0.0433|0.963|
80|high_school_microeconomics|" economic losses of $20.
D. Jason should clean 9 pools per day, with economic losses of $10.
Answer:"|3|3|||408|1|0|0.0|1.7054|1.7071|0.813|
81|miscellaneous|"riety of discourse modes
D. overall quality of each student's essay in relation to the topic
Answer:"|1|2|1|2|230|1|168|0.7304|0.0614|0.0626|0.895|
82|econometrics|"d (iv) only
B. (i) and (iii) only
C. (i), (ii), and (iii) only
D. (i), (ii), (iii), and (iv)
Answer:"|3|3|||522|1|0|0.0|2.777|2.7784|0.964|
83|professional_law|"nt with an absolute, unqualified privilege to withhold evidence from a criminal prosecution.
Answer:"|1|0|1|0|1325|1|953|0.7192|1.5163|1.5177|0.69|
84|professional_law|"by a de novo proceeding in adult court in which the reasonable doubt standard is guaranteed.
Answer:"|2|0|2|0|1139|1|954|0.8376|0.4562|0.4592|0.876|
85|astronomy|"f Venus?
A. 750 million years.
B. 2 billion years.
C. 3 billion years.
D. 4.5 billion years.
Answer:"|0|2|0|2|282|1|2|0.0071|0.8122|0.8137|0.983|
86|global_facts|"g bullied at least once in the past couple of months as of 2015?
A. 26%
B. 46%
C. 66%
D. 86%
Answer:"|1|1|||188|1|0|0.0|0.3722|0.3736|0.404|
87|computer_security|"use of limited __________
A. buffer
B. external storage
C. processing power
D. local storage
Answer:"|1|3|1|3|376|1|1|0.0027|1.4439|1.4452|0.899|
88|professional_law|"e instruction shifts the burden of persuasion from the prosecution to the defendant defense.
Answer:"|1|0|1|0|1144|1|954|0.8339|0.4754|0.4772|0.816|
89|high_school_biology|"ome
B. have an extra Y chromosome
C. lack an X chromosome
D. have red blood cells that clump
Answer:"|2|2|||294|1|0|0.0|0.8938|0.895|0.914|
90|high_school_statistics|" voluntary response study like this gives too much emphasis to persons with strong opinions.
Answer:"|0|1|0|1|487|1|1|0.0021|2.4107|2.4119|0.891|
91|professional_law|" to get a court order to sever the joint tenancy prior to conveying a deed to a third party.
Answer:"|0|1|0|1|1170|1|953|0.8145|0.5879|0.5891|0.894|
92|high_school_psychology|"brain is dominant for
A. language
B. logic
C. analytical reasoning
D. mathematical reasoning
Answer:"|2|0|2|0|232|1|209|0.9009|0.0285|0.0297|0.84|
93|machine_learning|"argin SVM.
B. Linear Logistic Regression.
C. Linear Soft margin SVM.
D. The centroid method.
Answer:"|3|3|||248|1|0|0.0|0.6398|0.641|0.625|
94|college_mathematics|"als p (x) in V such that p (0) = p(1) = p(-1) = 0. Then dim V + dim W is
A. 4
B. 5
C. 6
D. 7
Answer:"|3|3|||307|1|0|0.0|0.9732|0.9743|0.933|
95|professional_law|"lity of Littletown to understand.
D. Gordon was not an eligible taker under the estate plan.
Answer:"|3|0|3|0|1126|1|953|0.8464|0.4119|0.4148|0.948|
96|formal_logic|"s true and B and C are false
D. Invalid. Counterexample when B is true and A and C are false
Answer:"|3|3|||564|1|0|0.0|3.2374|3.2387|0.873|
97|sociology|"sed.
D. People from the countryside will move to the city, depopulating the farmland region.
Answer:"|3|3|||326|1|0|0.0|1.0954|1.0967|0.892|
98|professional_medicine|"and extension
D. the patient was previously treated for osteoarthritis of the cervical spine
Answer:"|1|1|||920|1|0|0.0|8.556|8.5574|0.921|
99|human_sexuality|"es
B. poorer growth and lower intelligence
C. smaller head circumference
D. all of the above
Answer:"|0|0|||275|1|0|0.0|0.7838|0.7851|0.851|
100|miscellaneous|"wer: B

Who is the mythological Roman goddess of flowers?
A. Diana
B. Echo
C. Flora
D. Niobe
Answer:"|0|2|0|2|185|1|168|0.9081|0.0214|0.0226|0.932|
101|world_religions|" ""Qur'an"" literally mean?
A. The Holy Book
B. The Narrative
C. The Recitation
D. The Pillars
Answer:"|3|2|3|2|136|1|116|0.8529|0.0176|0.0188|0.953|
102|security_studies|"sed by other states, resource scarcity, pandemic diseases, or other non-traditional threats.
Answer:"|3|3|||904|1|0|0.0|8.2626|8.2639|0.905|
103|high_school_psychology|"it the fundamental attribution error?
A. dispositional
B. situational
C. social
D. cognitive
Answer:"|3|0|3|0|233|1|209|0.897|0.0291|0.0302|0.876|
104|high_school_biology|"lity in a population?
A. Sporulation
B. Binary fission
C. Vegetative propagation
D. Mutation
Answer:"|3|2|3|2|266|1|242|0.9098|0.0324|0.0336|0.978|
105|professional_accounting|"nly.
D. Disclose the departure from GAAP in a separate paragraph of the accountant's report.
Answer:"|2|2|||451|1|0|0.0|2.0791|2.08|0.811|
106|high_school_physics|" using the slope of this graph?
A. Gravitational mass
B. Weight
C. Velocity
D. Inertial mass
Answer:"|1|1|||478|1|0|0.0|2.3326|2.3348|0.479|
107|high_school_macroeconomics|" Analysis
C. month; The Bureau of Economic Analysis
D. month; The Bureau of Labor Statistics
Answer:"|0|0|||324|1|0|0.0|1.0822|1.0833|0.824|
108|miscellaneous|"
B. $1.2 billion annual Revenue
C. $12 billion annual Revenue
D. $120 billion annual Revenue
Answer:"|0|2|0|2|208|1|168|0.8077|0.0368|0.0379|0.852|
109|computer_security|" a character string or an array of integers.
A. stack
B. queue
C. external storage
D. buffer
Answer:"|3|0|3|0|366|1|4|0.0109|1.347|1.3486|0.989|
110|high_school_microeconomics|"lus created of corn.
D. The producers of corn would lose revenue due to the decreased price.
Answer:"|3|3|||381|1|0|0.0|1.4897|1.4914|0.382|
111|high_school_mathematics|"s the inverse of $h(x)$?
A. \frac{x-5}{3}
B. \frac{x+5}{3}
C. \frac{x+5}{6}
D. \frac{x-5}{6}
Answer:"|1|1|||291|1|0|0.0|0.8759|0.8771|0.771|
112|high_school_chemistry|"ch of the following is expected to have the highest electronegativity?
A. S
B. Fe
C. W
D. Ag
Answer:"|3|3|||219|1|0|0.0|0.5015|0.5026|0.602|
113|conceptual_physics|"oelectric effect is the
A. wave model
B. particle model
C. Both of these
D. Neither of these
Answer:"|1|1|||191|1|0|0.0|0.3839|0.3852|0.963|
114|human_aging|"ia are cognitive symptoms less likely?
A. Parkinson's
B. Pick's
C. Huntington's
D. NeuroAIDS
Answer:"|0|1|0|1|196|1|1|0.0051|0.3999|0.4013|0.68|
115|clinical_knowledge|"n the catheter is blocked.
C. When the catheter is bypassing.
D. When the catheter is dirty.
Answer:"|3|2|3|2|180|1|1|0.0056|0.3384|0.3398|0.737|
116|moral_disputes|"ng moral theories?
A. consequentialism
B. Kantianism
C. utilitarianism
D. natural law theory
Answer:"|3|3|||259|1|0|0.0|0.6967|0.6976|0.862|
117|moral_disputes|"untability by the highest-level officials.
C. have no objective answer.
D. none of the above
Answer:"|0|0|||285|1|0|0.0|0.8407|0.8425|0.999|
118|prehistory|"ern Inuit are the descendants of which people?
A. Paleo-Eskimos
B. Dorset
C. Thule
D. Clovis
Answer:"|3|3|||234|1|0|0.0|0.571|0.5725|0.715|
119|professional_psychology|"ristic of Asians and Asian Americans?
A. shame
B. self-control
C. egalitarianism
D. fatalism
Answer:"|3|0|3|0|275|1|4|0.0145|0.7619|0.7634|0.921|
120|moral_scenarios|"ole it back.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|3|3|||441|1|0|0.0|1.9889|1.9904|0.937|
121|anatomy|"isors.
D. The buccal surfaces of the upper molars and labial surfaces of the lower incisors.
Answer:"|1|1|||270|1|1|0.0037|0.7506|0.7519|0.95|
122|conceptual_physics|"rate at a constant rate in a straight line
C. come to rest
D. increase its amount of inertia
Answer:"|1|1|||218|1|164|0.7523|0.051|0.0524|0.713|
123|moral_scenarios|"ssed it out.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|1|1|||454|1|0|0.0|2.1066|2.108|0.976|
124|professional_law|"ws against gender discrimination but it has nothing to do with a denial of equal protection.
Answer:"|2|2|||1180|1|0|0.0|14.042|14.0436|0.0|
125|us_foreign_policy|"ights protection, democracy, etc)?
A. Realism
B. Idealism
C. Liberalism
D. None of the above
Answer:"|1|2|1|2|242|1|0|0.0|0.6098|0.6111|0.243|
126|high_school_macroeconomics|"tax cut is likely to increase aggregate supply by providing greater rewards for risk taking.
Answer:"|3|3|||381|1|0|0.0|1.4897|1.4926|0.824|
127|prehistory|"pecies within a few centuries after 10,400 years ago?
A. sheep
B. cattle
C. dogs
D. chickens
Answer:"|1|1|||247|1|0|0.0|0.6348|0.6362|0.758|
128|high_school_european_history|"de as well as the cod and whaling industries which at this time were dominated by the French
Answer:"|3|3|||1591|1|0|0.0|25.4719|25.4751|0.0|
129|marketing|"h.
B. Value-oriented approach.
C. Competitor-oriented approach.
D. Demand-oriented approach.
Answer:"|1|1|||281|1|0|0.0|0.8177|0.8194|0.985|
130|moral_disputes|" abortion issue as a matter of the personal preferences of the mother.
D. none of the above.
Answer:"|3|0|3|0|308|1|229|0.7435|0.0932|0.0947|0.638|
131|moral_scenarios|"he was away.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|1|3|1|3|451|1|0|0.0|2.0791|2.0801|0.452|
132|anatomy|"ified as which of the following?
A. Androgens
B. Catecholamines
C. Electrolytes
D. Estrogens
Answer:"|0|0|||206|1|0|0.0|0.445|0.4463|0.845|
133|high_school_psychology|"r are the shortest electromagnetic waves humans can see?
A. green
B. violet
C. red
D. orange
Answer:"|3|3|||228|1|0|0.0|0.5426|0.5439|0.681|
134|professional_psychology|"cquired within the past few hours to days.
A. Working
B. Sensory
C. Long-term
D. Prospective
Answer:"|0|0|||285|1|253|0.8877|0.0387|0.04|0.878|
135|moral_scenarios|"play a game.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|0|1|0|1|449|1|405|0.902|0.0643|0.0656|0.575|
136|business_ethics|"tems
D. Corporate ecosystems
Answer: B

Predatory pricing.
A. 1,2,4
B. 1,2,3,4
C. 1,2
D. 1,4
Answer:"|3|3|||258|1|0|0.0|0.6914|0.6927|0.94|
137|miscellaneous|"d people who have given up looking for jobs
D. Full-time students looking for part-time jobs
Answer:"|2|2|||233|1|0|0.0|0.5662|0.5676|0.477|
138|clinical_knowledge|"palsy occurs when the patient looks upwards
D. A sixth nerve palsy causes a divergent squint
Answer:"|0|2|0|2|188|1|1|0.0053|0.3685|0.3689|0.665|
139|high_school_physics|"he ground on the horse is greater than the horse’s weight, providing an upward acceleration.
Answer:"|2|2|||530|1|0|0.0|2.862|2.8633|0.953|
140|moral_scenarios|" my country.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|2|1|2|1|457|1|405|0.8862|0.0727|0.0741|0.628|
141|moral_scenarios|"stmas party.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|3|1|3|1|453|1|404|0.8918|0.0693|0.0706|0.678|
142|high_school_world_history|"s of Afrikaners during the colonial period
D. Unforeseen consequences of British imperialism
Answer:"|3|1|3|1|1267|1|1|0.0008|16.1543|16.1816|0.0|
143|professional_law|"itial aggressor.
D. not prevail, because the brother used reasonable force given the threat.
Answer:"|0|0|||1121|1|0|0.0|12.6785|12.6809|0.0|
144|high_school_macroeconomics|"rs of production.
C. GDP minus depreciation and indirect business taxes.
D. (B) (C) and (D).
Answer:"|3|3|||320|1|0|0.0|1.056|1.0575|0.809|
145|high_school_chemistry|"ant for this reaction?
A. 3.4 × 10^-4 s-1
B. 2.04 × 10^-2 s-1
C. 2.9 × 10^-1 min-1
D. 34 min
Answer:"|1|1|||235|1|0|0.0|0.5757|0.577|0.236|
146|clinical_knowledge|"the assessment of rectal bleeding
D. Rectal cancer is the commonest cause of rectal bleeding
Answer:"|0|2|0|2|193|1|146|0.7565|0.0414|0.0421|0.767|
147|high_school_world_history|"rights on the part of new elites
D. Prioritization of national liberation over social reform
Answer:"|0|1|0|1|1333|1|1094|0.8207|0.7045|0.7061|0.476|
148|world_religions|"an's closure to Christianity and Europe?
A. 1749-1945
B. 1052-1616
C. 1641-1853
D. 1517-1870
Answer:"|2|2|||138|1|1|0.0072|0.2015|0.2026|0.905|
149|high_school_us_history|". Jefferson Davis drafted Confederate soldiers into war, defending the siege on Fort Sumter.
Answer:"|3|1|3|1|1345|1|7|0.0052|18.0369|18.0386|0.0|
150|medical_genetics|"er(14;21)(q10;q10)pat+21
B. 47,XY,+13
C. 45,XX,rob,(14;21)(q10;q10)
D. 46,XY,t(2;3)(q21;q12)
Answer:"|3|3|||153|1|0|0.0|0.2494|0.2507|0.963|
151|philosophy|"negative utilities being counted.
D. take no account of either positive or negative utility.
Answer:"|1|1|||215|1|0|0.0|0.4838|0.485|0.216|
152|professional_law|"ment provision is not enforceable since public policy favors free assignment and delegation.
Answer:"|2|0|2|0|1128|1|954|0.8457|0.4156|0.417|0.175|
153|high_school_biology|"e of
A. evolution.
B. the fossil record.
C. uniformitarianism.
D. the origin of new species.
Answer:"|3|3|||276|1|2|0.0072|0.7784|0.7795|0.75|
154|moral_scenarios|"rotect them.
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong
Answer:"|0|0|||442|1|0|0.0|1.9978|1.9983|0.618|
155|anatomy|"ntraction of ipsilateral limb musculature.
D. contraction of contralateral limb musculature.
Answer:"|3|3|||218|1|0|0.0|0.497|0.4974|0.969|
156|human_sexuality|"s arousal
D. anxiety decreases blood flow to the upper spinal cord inhibiting vasocongestion
Answer:"|0|0|||314|1|0|0.0|1.0174|1.0186|0.933|
