request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_cache_hit_ratio|local_snapshot_match_after_process|total_time_s|generated_text|error
119|professional_psychology|3|3|3|||388|352|0.9072|388|352|0.9072|388|0.0284| A|
120|moral_scenarios|0|0|0|||615|561|0.9122|615|561|0.9122|615|0.0135| A|
121|anatomy|1|1|0|1|0|410|298|0.7268|410|298|0.7268|410|0.0136| A|
122|conceptual_physics|2|2|0|2|0|308|243|0.789|308|243|0.789|308|0.0126| A|
123|moral_scenarios|3|3|0|3|0|630|563|0.8937|630|563|0.8937|630|0.0138| C|
124|professional_law|0|0|0|||1440|1178|0.8181|1440|1178|0.8181|1440|0.0204| B|
125|us_foreign_policy|1|1|2|1|2|341|292|0.8563|341|292|0.8563|341|0.0466| C|
126|high_school_macroeconomics|2|2|0|2|0|476|368|0.7731|476|368|0.7731|476|0.0128| C|
127|prehistory|3|3|3|||398|343|0.8618|398|343|0.8618|398|0.0126| B|
128|high_school_european_history|0|0|2|0|2|1991|1492|0.7494|1991|1492|0.7494|1991|0.0184| C|
129|marketing|0|0|2|0|2|387|1|0.0026|387|1|0.0026|387|0.0125| D|
130|moral_disputes|1|1|0|1|0|411|318|0.7737|411|318|0.7737|411|0.0106| A|
131|moral_scenarios|2|2|2|||627|561|0.8947|627|561|0.8947|627|0.0126| C|
132|anatomy|3|3|0|3|0|341|298|0.8739|341|298|0.8739|341|0.0125| C|
133|high_school_psychology|0|0|0|||318|290|0.9119|318|290|0.9119|318|0.0125| B|
134|professional_psychology|1|1|1|||398|352|0.8844|398|352|0.8844|398|0.011| D|
135|moral_scenarios|2|2|2|||623|561|0.9005|623|561|0.9005|623|0.0109| C|
136|business_ethics|1|1|1|||424|0|0.0|424|0|0.0|424|0.01| C|
137|miscellaneous|3|3|2|3|2|342|261|0.7632|342|261|0.7632|342|0.0101| C|
138|clinical_knowledge|0|0|1|0|1|301|235|0.7807|301|235|0.7807|301|0.0107| C|
139|high_school_physics|1|1|0|1|0|669|528|0.7892|669|528|0.7892|669|0.0141| A|
140|moral_scenarios|2|2|2|||630|561|0.8905|630|561|0.8905|630|0.0116| C|
141|moral_scenarios|3|3|0|3|0|626|560|0.8946|626|560|0.8946|626|0.0133| C|
142|high_school_world_history|0|0|2|0|2|1664|1440|0.8654|1664|1440|0.8654|1664|0.0179| D|
143|professional_law|1|1|0|1|0|1379|1181|0.8564|1379|1181|0.8564|1379|0.0133| B|
144|high_school_macroeconomics|2|2|0|2|0|414|368|0.8889|414|368|0.8889|414|0.0113| D|
145|high_school_chemistry|3|3|3|||460|380|0.8261|460|380|0.8261|460|0.0464| A|
146|clinical_knowledge|0|0|1|0|1|308|241|0.7825|308|241|0.7825|308|0.0111| B|
147|high_school_world_history|1|1|2|1|2|1758|1440|0.8191|1758|1440|0.8191|1758|0.019| C|
148|world_religions|2|2|3|2|3|277|206|0.7437|277|206|0.7437|277|0.011| A|
149|high_school_us_history|3|3|3|||1779|1468|0.8252|1779|1468|0.8252|1779|0.015| C|
150|medical_genetics|2|2|0|2|0|347|2|0.0058|347|2|0.0058|347|0.0103| C|
151|philosophy|0|0|3|0|3|310|246|0.7935|310|246|0.7935|310|0.0098| C|
152|professional_law|1|1|0|1|0|1400|1178|0.8414|1400|1178|0.8414|1400|0.0124| A|
153|high_school_biology|2|2|0|2|0|390|329|0.8436|390|329|0.8436|390|0.0111| C|
154|moral_scenarios|3|3|0|3|0|613|561|0.9152|613|561|0.9152|613|0.0102| C|
155|anatomy|0|0|0|||351|298|0.849|351|298|0.849|351|0.0102| D|
156|human_sexuality|1|1|1|||433|337|0.7783|433|337|0.7783|433|0.0096| C|
157|professional_law|2|2|0|2|0|1348|1178|0.8739|1348|1178|0.8739|1348|0.0559| D|
158|prehistory|3|3|3|||401|344|0.8579|401|344|0.8579|401|0.0125| B|
159|professional_psychology|0|0|1|0|1|397|352|0.8866|397|352|0.8866|397|0.0124| B|
160|clinical_knowledge|1|1|1|||281|239|0.8505|281|239|0.8505|281|0.0117| D|
161|professional_psychology|2|2|2|||416|352|0.8462|416|352|0.8462|416|0.0133| D|
162|college_medicine|3|3|3|||561|1|0.0018|561|1|0.0018|561|0.0111| D|
163|miscellaneous|3|3|2|3|2|305|263|0.8623|305|263|0.8623|305|0.0222| A|
164|professional_law|0|0|0|||1399|1178|0.842|1399|1178|0.842|1399|0.0952| C|
165|marketing|1|1|2|1|2|402|340|0.8458|402|340|0.8458|402|0.0127| C|
166|professional_law|2|2|0|2|0|1365|1179|0.8637|1365|1179|0.8637|1365|0.0194| A|
167|professional_law|3|3|0|3|0|1504|1178|0.7832|1504|1178|0.7832|1504|0.0154| C|
168|professional_law|0|0|0|||1476|1179|0.7988|1476|1179|0.7988|1476|0.0141| B|
169|professional_law|1|1|0|1|0|1533|1178|0.7684|1533|1178|0.7684|1533|0.015| B|
170|professional_accounting|2|2|3|2|3|601|465|0.7737|601|465|0.7737|601|0.0134| C|
171|world_religions|3|3|3|||245|206|0.8408|245|206|0.8408|245|0.0284| A|
172|moral_disputes|0|0|0|||363|318|0.876|363|318|0.876|363|0.0114| B|
173|high_school_mathematics|1|1|1|||574|495|0.8624|574|495|0.8624|574|0.0277| B|
174|moral_scenarios|2|2|2|||637|560|0.8791|637|560|0.8791|637|0.0111| A|
175|elementary_mathematics|3|3|1|3|1|414|320|0.7729|414|320|0.7729|414|0.0105| B|
176|miscellaneous|0|0|2|0|2|301|261|0.8671|301|261|0.8671|301|0.0127| C|
177|elementary_mathematics|1|1|1|||368|320|0.8696|368|320|0.8696|368|0.0137| D|
178|professional_psychology|2|2|2|||405|352|0.8691|405|352|0.8691|405|0.01| C|
179|security_studies|3|3|3|||939|795|0.8466|939|795|0.8466|939|0.017| A|
180|professional_law|0|0|0|||1397|1178|0.8432|1397|1178|0.8432|1397|0.0148| D|
181|moral_scenarios|1|1|0|1|0|617|560|0.9076|617|560|0.9076|617|0.0126| A|
182|professional_law|2|2|0|2|0|1320|1177|0.8917|1320|1177|0.8917|1320|0.1189| C|
183|nutrition|3|3|2|3|2|364|304|0.8352|364|304|0.8352|364|0.0383| D|
184|human_aging|0|0|1|0|1|302|261|0.8642|302|261|0.8642|302|0.0128| C|
185|high_school_macroeconomics|1|1|0|1|0|425|368|0.8659|425|368|0.8659|425|0.0125| B|
186|moral_disputes|2|2|0|2|0|409|318|0.7775|409|318|0.7775|409|0.0116| C|
187|us_foreign_policy|3|3|2|3|2|336|292|0.869|336|292|0.869|336|0.0123| A|
188|high_school_psychology|0|0|0|||372|289|0.7769|372|289|0.7769|372|0.0111| D|
189|high_school_us_history|1|1|3|1|3|1666|1469|0.8818|1666|1469|0.8818|1666|0.0129| C|
190|college_medicine|2|2|3|2|3|538|446|0.829|538|446|0.829|538|0.0745| A|
191|college_biology|0|0|0|||389|0|0.0|389|0|0.0|389|0.0104| D|
192|high_school_statistics|3|3|3|||631|568|0.9002|631|568|0.9002|631|0.0104| C|
193|high_school_macroeconomics|0|0|0|||427|372|0.8712|427|372|0.8712|427|0.0104| D|
194|college_physics|1|1|0|1|0|543|438|0.8066|543|438|0.8066|543|0.0114| B|
195|management|2|2|2|||274|233|0.8504|274|233|0.8504|274|0.0102| B|
196|elementary_mathematics|3|3|1|3|1|380|320|0.8421|380|320|0.8421|380|0.0119| B|
197|miscellaneous|0|0|2|0|2|297|264|0.8889|297|264|0.8889|297|0.012| A|
198|miscellaneous|1|1|2|1|2|294|263|0.8946|294|263|0.8946|294|0.011| C|
199|philosophy|2|2|3|2|3|412|248|0.6019|412|248|0.6019|412|0.0125| C|
200|logical_fallacies|3|3|1|3|1|471|416|0.8832|471|416|0.8832|471|0.0111| C|
201|high_school_chemistry|0|0|2|0|2|425|379|0.8918|425|379|0.8918|425|0.0123| B|
202|formal_logic|1|1|3|1|3|756|685|0.9061|756|685|0.9061|756|0.0143| C|
203|business_ethics|2|2|1|2|1|484|384|0.7934|484|384|0.7934|484|0.0365| C|
204|high_school_microeconomics|3|3|3|||469|387|0.8252|469|387|0.8252|469|0.0117| D|
205|high_school_geography|0|0|1|0|1|301|248|0.8239|301|248|0.8239|301|0.0123| B|
206|high_school_mathematics|1|1|1|||567|495|0.873|567|495|0.873|567|0.0104| B|
207|high_school_psychology|2|2|0|2|0|340|289|0.85|340|289|0.85|340|0.1662| A|
208|machine_learning|3|3|0|3|0|406|347|0.8547|406|347|0.8547|406|0.0143| C|
209|high_school_world_history|0|0|2|0|2|1582|1440|0.9102|1582|1440|0.9102|1582|0.0156| C|
210|virology|1|1|0|1|0|328|261|0.7957|328|261|0.7957|328|0.0253| B|
211|professional_medicine|2|2|0|2|0|1322|1096|0.829|1322|1096|0.829|1322|0.0153| C|
212|us_foreign_policy|3|3|2|3|2|342|293|0.8567|342|293|0.8567|342|0.0105| C|
213|high_school_government_and_politics|1|1|1|||495|4|0.0081|495|4|0.0081|495|0.0104| D|
214|professional_psychology|0|0|3|0|3|404|356|0.8812|404|356|0.8812|404|0.0124| A|
215|high_school_macroeconomics|1|1|0|1|0|430|368|0.8558|430|368|0.8558|430|0.0106| B|
216|professional_law|2|2|0|2|0|1417|1177|0.8306|1417|1177|0.8306|1417|0.0125| D|
217|professional_medicine|3|3|0|3|0|1311|1097|0.8368|1311|1097|0.8368|1311|0.0141| D|
218|professional_law|0|0|0|||1388|1178|0.8487|1388|1178|0.8487|1388|0.0441| B|
219|world_religions|1|1|3|1|3|254|207|0.815|254|207|0.815|254|0.0115| C|
220|prehistory|2|2|3|2|3|424|343|0.809|424|343|0.809|424|0.0123| C|
221|professional_law|3|3|0|3|0|1486|1178|0.7927|1486|1178|0.7927|1486|0.0135| D|
222|high_school_microeconomics|0|0|3|0|3|455|386|0.8484|455|386|0.8484|455|0.01| C|
223|miscellaneous|1|1|2|1|2|305|261|0.8557|305|261|0.8557|305|0.0099| D|
224|professional_accounting|2|2|3|2|3|555|465|0.8378|555|465|0.8378|555|0.0121| B|
225|econometrics|3|3|1|3|1|605|502|0.8298|605|502|0.8298|605|0.0151| D|
226|moral_disputes|0|0|0|||384|318|0.8281|384|318|0.8281|384|0.011| A|
227|moral_scenarios|1|1|0|1|0|617|561|0.9092|617|561|0.9092|617|0.0111| A|
228|security_studies|2|2|3|2|3|986|795|0.8063|986|795|0.8063|986|0.0122| C|
229|miscellaneous|3|3|2|3|2|296|263|0.8885|296|263|0.8885|296|0.0102| C|
230|professional_law|0|0|0|||1323|1178|0.8904|1323|1178|0.8904|1323|0.1279| C|
231|high_school_chemistry|1|1|2|1|2|452|379|0.8385|452|379|0.8385|452|0.01| D|
232|high_school_geography|2|2|1|2|1|280|247|0.8821|280|247|0.8821|280|0.0113| C|
233|professional_medicine|3|3|0|3|0|1304|1096|0.8405|1304|1096|0.8405|1304|0.0501| B|
234|logical_fallacies|0|0|1|0|1|455|416|0.9143|455|416|0.9143|455|0.0105| B|
235|college_chemistry|1|1|0|1|0|396|336|0.8485|396|336|0.8485|396|0.0107| C|
236|professional_psychology|2|2|2|||401|352|0.8778|401|352|0.8778|401|0.0101| C|
237|high_school_microeconomics|3|3|3|||449|387|0.8619|449|387|0.8619|449|0.0117| B|
238|anatomy|0|0|0|||376|298|0.7926|376|298|0.7926|376|0.0106| C|
239|high_school_physics|1|1|0|1|0|624|529|0.8478|624|529|0.8478|624|0.0114| B|
240|philosophy|2|2|3|2|3|293|246|0.8396|293|246|0.8396|293|0.0118| C|
241|professional_law|3|3|0|3|0|1420|1177|0.8289|1420|1177|0.8289|1420|0.0445| A|
242|high_school_macroeconomics|0|0|0|||410|372|0.9073|410|372|0.9073|410|0.0104| A|
243|miscellaneous|1|1|2|1|2|297|262|0.8822|297|262|0.8822|297|0.0099| C|
244|college_mathematics|2|2|1|2|1|538|388|0.7212|538|388|0.7212|538|0.0104| D|
245|professional_psychology|3|3|3|||395|352|0.8911|395|352|0.8911|395|0.0098| D|
246|high_school_psychology|0|0|0|||336|289|0.8601|336|289|0.8601|336|0.0116| D|
247|professional_law|1|1|0|1|0|1629|1179|0.7238|1629|1179|0.7238|1629|0.0144| D|
248|moral_scenarios|2|2|2|||624|561|0.899|624|561|0.899|624|0.0468| C|
249|high_school_macroeconomics|3|3|0|3|0|417|372|0.8921|417|372|0.8921|417|0.1824| C|
250|high_school_macroeconomics|0|0|0|||438|369|0.8425|438|369|0.8425|438|0.012| D|
251|professional_medicine|1|1|0|1|0|1350|1096|0.8119|1350|1096|0.8119|1350|0.013| A|
252|professional_law|2|2|0|2|0|1367|1178|0.8617|1367|1178|0.8617|1367|0.0163| C|
253|logical_fallacies|3|3|1|3|1|502|416|0.8287|502|416|0.8287|502|0.0128| D|
254|world_religions|0|0|3|0|3|241|206|0.8548|241|206|0.8548|241|0.0114| C|
255|professional_accounting|1|1|3|1|3|660|465|0.7045|660|465|0.7045|660|0.109| B|
256|logical_fallacies|2|2|1|2|1|466|416|0.8927|466|416|0.8927|466|0.01| C|
257|moral_scenarios|3|3|0|3|0|619|561|0.9063|619|561|0.9063|619|0.0111| A|
258|high_school_physics|0|0|0|||619|529|0.8546|619|529|0.8546|619|0.0587| D|
259|nutrition|1|1|2|1|2|411|305|0.7421|411|305|0.7421|411|0.011| C|
260|professional_law|2|2|0|2|0|1467|1177|0.8023|1467|1177|0.8023|1467|0.013| A|
261|professional_law|3|3|0|3|0|1425|1178|0.8267|1425|1178|0.8267|1425|0.0139| B|
262|professional_law|0|0|0|||1344|1178|0.8765|1344|1178|0.8765|1344|0.0128| B|
263|high_school_microeconomics|1|1|3|1|3|450|386|0.8578|450|386|0.8578|450|0.0102| C|
264|machine_learning|2|2|0|2|0|390|347|0.8897|390|347|0.8897|390|0.0534| B|
265|high_school_geography|3|3|1|3|1|276|248|0.8986|276|248|0.8986|276|0.0104| B|
266|high_school_physics|0|0|0|||612|528|0.8627|612|528|0.8627|612|0.0124| B|
267|world_religions|1|1|3|1|3|242|206|0.8512|242|206|0.8512|242|0.0224| A|
268|professional_law|2|2|0|2|0|1498|1178|0.7864|1498|1178|0.7864|1498|0.0173| D|
269|logical_fallacies|3|3|1|3|1|486|417|0.858|486|417|0.858|486|0.0114| B|
270|professional_psychology|0|0|2|0|2|462|353|0.7641|462|353|0.7641|462|0.0624| C|
271|professional_psychology|1|1|1|||421|352|0.8361|421|352|0.8361|421|0.0125| B|
272|high_school_psychology|2|2|0|2|0|344|289|0.8401|344|289|0.8401|344|0.0132| C|
273|high_school_geography|3|3|1|3|1|291|251|0.8625|291|251|0.8625|291|0.0427| D|
274|anatomy|0|0|0|||346|298|0.8613|346|298|0.8613|346|0.051| D|
275|econometrics|1|1|1|||569|502|0.8822|569|502|0.8822|569|0.0706| D|
276|elementary_mathematics|2|2|1|2|1|404|321|0.7946|404|321|0.7946|404|0.0102| B|
277|world_religions|3|3|3|||244|206|0.8443|244|206|0.8443|244|0.0112| C|
278|professional_law|0|0|0|||1394|1178|0.8451|1394|1178|0.8451|1394|0.0125| C|
279|high_school_world_history|1|1|2|1|2|1752|1440|0.8219|1752|1440|0.8219|1752|0.0173| B|
280|econometrics|2|2|1|2|1|568|498|0.8768|568|498|0.8768|568|0.0126| D|
281|philosophy|3|3|3|||298|248|0.8322|298|248|0.8322|298|0.0125| C|
282|abstract_algebra|2|2|2|||435|0|0.0|435|0|0.0|435|0.0111| A|
283|conceptual_physics|0|0|0|||285|243|0.8526|285|243|0.8526|285|0.0711| C|
284|professional_psychology|1|1|1|||432|352|0.8148|432|352|0.8148|432|0.011| A|
285|college_chemistry|2|2|0|2|0|380|335|0.8816|380|335|0.8816|380|0.0115| D|
286|miscellaneous|3|3|2|3|2|292|262|0.8973|292|262|0.8973|292|0.012| A|
287|human_aging|0|0|1|0|1|320|261|0.8156|320|261|0.8156|320|0.0109| B|
288|security_studies|1|1|3|1|3|1078|795|0.7375|1078|795|0.7375|1078|0.0141| D|
289|high_school_statistics|2|2|3|2|3|690|568|0.8232|690|568|0.8232|690|0.0134| A|
290|professional_psychology|3|3|2|3|2|387|353|0.9121|387|353|0.9121|387|0.2123| B|
291|high_school_computer_science|3|3|1|3|1|698|1|0.0014|698|1|0.0014|698|0.0153| D|
292|elementary_mathematics|0|0|1|0|1|376|320|0.8511|376|320|0.8511|376|0.0248| A|
293|elementary_mathematics|1|1|1|||390|320|0.8205|390|320|0.8205|390|0.0258| B|
294|professional_law|2|2|0|2|0|1607|1179|0.7337|1607|1179|0.7337|1607|0.0158| C|
295|elementary_mathematics|3|3|1|3|1|364|320|0.8791|364|320|0.8791|364|0.0668| B|
296|miscellaneous|0|0|2|0|2|300|262|0.8733|300|262|0.8733|300|0.0291| D|
297|human_sexuality|1|1|1|||374|337|0.9011|374|337|0.9011|374|0.0136| B|
298|business_ethics|2|2|1|2|1|436|384|0.8807|436|384|0.8807|436|0.0327| B|
