request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|local_snapshot_match_after_process|total_time_s|generated_text|error
116|professional_law|1|1|0|1|0|1588|1205|0.7588|1588|0.0157|To|
117|professional_law|1|1|0|1|0|1499|1202|0.8019|1499|0.0163|To|
118|professional_law|1|1|0|1|0|1395|1202|0.8616|1395|0.0143|To|
119|professional_law|1|1|0|1|0|1491|1202|0.8062|1491|0.0154|To|
120|professional_law|1|1|0|1|0|1497|1203|0.8036|1497|0.0143|To|
121|professional_law|1|1|0|1|0|1283|1204|0.9384|1283|0.0149|The|
122|professional_law|1|1|0|1|0|1249|1206|0.9656|1249|0.0149|To|
123|professional_law|1|1|0|1|0|1642|1202|0.732|1642|0.015|To|
124|professional_law|1|1|0|1|0|1422|1203|0.846|1422|0.0173|To|
125|professional_law|1|1|0|1|0|1389|1201|0.8647|1389|0.0155|To|
126|professional_law|1|1|0|1|0|1446|1204|0.8326|1446|0.015|To|
127|professional_law|1|1|0|1|0|1525|1204|0.7895|1525|0.0147|To|
128|professional_law|1|1|0|1|0|1624|1203|0.7408|1624|0.0149|To|
129|professional_law|1|1|0|1|0|1327|1203|0.9066|1327|0.0141|To|
130|professional_law|1|1|0|1|0|1260|1201|0.9532|1260|0.0142|To|
131|professional_law|1|1|0|1|0|1319|1203|0.9121|1319|0.0166|To|
132|professional_law|1|1|0|1|0|1358|1202|0.8851|1358|0.0191|To|
133|professional_law|1|1|0|1|0|1511|1203|0.7962|1511|0.0147|To|
134|professional_law|1|1|0|1|0|1596|1202|0.7531|1596|0.015|To|
135|professional_law|1|1|0|1|0|1504|1202|0.7992|1504|0.0147|To|
136|professional_law|1|1|0|1|0|1389|1202|0.8654|1389|0.0145|The|
137|professional_law|1|1|0|1|0|1669|1202|0.7202|1669|0.0153|To|
138|professional_law|1|1|0|1|0|1422|1202|0.8453|1422|0.0151|To|
139|professional_law|1|1|0|1|0|1427|1204|0.8437|1427|0.0163|To|
140|professional_law|1|1|0|1|0|1369|1203|0.8787|1369|0.0154|The|
141|professional_law|1|1|0|1|0|1427|1202|0.8423|1427|0.0171|To|
142|professional_law|1|1|0|1|0|1476|1202|0.8144|1476|0.015|To|
143|professional_law|1|1|0|1|0|1445|1202|0.8318|1445|0.017|To|
144|professional_law|1|1|0|1|0|1407|1203|0.855|1407|0.0182|To|
145|professional_law|1|1|0|1|0|1483|1202|0.8105|1483|0.0161|To|
146|professional_law|1|1|0|1|0|1588|1201|0.7563|1588|0.0146|To|
147|professional_law|1|1|0|1|0|1481|1202|0.8116|1481|0.0167|To|
148|professional_law|1|1|0|1|0|1497|1204|0.8043|1497|0.0171|To|
149|professional_law|1|1|0|1|0|1397|1203|0.8611|1397|0.0143|To|
150|professional_law|1|1|0|1|0|1414|1202|0.8501|1414|0.0181|To|
151|professional_law|1|1|0|1|0|1390|1203|0.8655|1390|0.018|To|
152|professional_law|1|1|0|1|0|1690|1201|0.7107|1690|0.021|To|
153|professional_law|1|1|0|1|0|1495|1202|0.804|1495|0.015|To|
154|professional_law|1|1|0|1|0|1523|1203|0.7899|1523|0.0253|To|
155|professional_law|1|1|0|1|0|1388|1202|0.866|1388|0.0193|To|
156|professional_law|1|1|0|1|0|1458|1202|0.8244|1458|0.0193|To|
157|professional_law|1|1|0|1|0|1477|1202|0.8138|1477|0.0189|To|
158|professional_law|1|1|0|1|0|1358|1202|0.8851|1358|0.0186|To|
159|professional_law|1|1|0|1|0|1411|1205|0.854|1411|0.0184|To|
160|professional_law|1|1|0|1|0|1442|1202|0.8336|1442|0.0208|To|
161|professional_law|1|1|0|1|0|1524|1202|0.7887|1524|0.0151|To|
162|professional_law|1|1|0|1|0|1361|1202|0.8832|1361|0.0182|To|
163|professional_law|1|1|0|1|0|1403|1203|0.8574|1403|0.0146|To|
164|professional_law|1|1|0|1|0|1540|1202|0.7805|1540|0.0188|To|
165|professional_law|1|1|0|1|0|1425|1202|0.8435|1425|0.0206|To|
166|professional_law|1|1|0|1|0|1412|1202|0.8513|1412|0.0183|The|
167|professional_law|1|1|0|1|0|1370|1202|0.8774|1370|0.021|To|
168|professional_law|1|1|0|1|0|1404|1202|0.8561|1404|0.0202|To|
169|professional_law|1|1|0|1|0|1468|1202|0.8188|1468|0.0153|To|
170|professional_law|1|1|0|1|0|1310|1203|0.9183|1310|0.0189|To|
171|professional_law|1|1|0|1|0|1379|1207|0.8753|1379|0.0202|To|
172|professional_law|1|1|0|1|0|1491|1206|0.8089|1491|0.0253|To|
173|professional_law|1|1|0|1|0|1519|1203|0.792|1519|0.0151|To|
174|professional_law|1|1|0|1|0|1486|1203|0.8096|1486|0.0148|To|
175|professional_law|1|1|0|1|0|1377|1202|0.8729|1377|0.0201|To|
176|professional_law|1|1|0|1|0|1474|1201|0.8148|1474|0.015|To|
177|professional_law|1|1|0|1|0|1389|1203|0.8661|1389|0.0219|To|
178|professional_law|1|1|0|1|0|1365|1203|0.8813|1365|0.0184|To|
179|professional_law|1|1|0|1|0|1446|1202|0.8313|1446|0.0209|To|
180|professional_law|1|1|0|1|0|1425|1206|0.8463|1425|0.0201|To|
181|professional_law|1|1|0|1|0|1455|1202|0.8261|1455|0.0149|To|
182|professional_law|1|1|0|1|0|1369|1207|0.8817|1369|0.0203|The|
183|professional_law|1|1|0|1|0|1443|1202|0.833|1443|0.0215|To|
184|professional_law|1|1|0|1|0|1384|1201|0.8678|1384|0.021|To|
185|professional_law|1|1|0|1|0|1560|1202|0.7705|1560|0.0214|To|
186|professional_law|1|1|0|1|0|1439|1203|0.836|1439|0.0211|To|
187|professional_law|1|1|0|1|0|1375|1205|0.8764|1375|0.0208|To|
188|professional_law|1|1|0|1|0|1387|1203|0.8673|1387|0.0157|To|
189|professional_law|1|1|0|1|0|1462|1201|0.8215|1462|0.0211|To|
190|professional_law|1|1|0|1|0|1373|1202|0.8755|1373|0.0247|To|
191|professional_law|1|1|0|1|0|1600|1202|0.7512|1600|0.0229|To|
192|professional_law|1|1|0|1|0|1515|1202|0.7934|1515|0.0217|To|
193|professional_law|1|1|0|1|0|1547|1203|0.7776|1547|0.0231|To|
194|professional_law|1|1|0|1|0|1499|1202|0.8019|1499|0.0222|To|
195|professional_law|1|1|0|1|0|1253|1205|0.9617|1253|0.0237|To|
196|professional_law|1|1|0|1|0|1364|1205|0.8834|1364|0.0231|To|
197|professional_law|1|1|0|1|0|1470|1204|0.819|1470|0.0245|To|
198|professional_law|1|1|0|1|0|1489|1202|0.8073|1489|0.0242|To|
199|professional_law|1|1|0|1|0|1277|1201|0.9405|1277|0.0235|To|
